scorer,DLC_resnet50_BeamTraining1Dec27shuffle1_20000,DLC_resnet50_BeamTraining1Dec27shuffle1_20000,DLC_resnet50_BeamTraining1Dec27shuffle1_20000,DLC_resnet50_BeamTraining1Dec27shuffle1_20000,DLC_resnet50_BeamTraining1Dec27shuffle1_20000,DLC_resnet50_BeamTraining1Dec27shuffle1_20000,DLC_resnet50_BeamTraining1Dec27shuffle1_20000,DLC_resnet50_BeamTraining1Dec27shuffle1_20000,DLC_resnet50_BeamTraining1Dec27shuffle1_20000
bodyparts,BeamLeft,BeamLeft,BeamLeft,BeamMiddle,BeamMiddle,BeamMiddle,BeamRight,BeamRight,BeamRight
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
46,475.7466735839844,35.763729095458984,0.0020057344809174538,1135.907470703125,89.54305267333984,0.0014996349345892668,469.55108642578125,36.702369689941406,0.01240189466625452
47,476.17413330078125,35.54727554321289,0.0027343675028532743,473.24853515625,33.783878326416016,0.0015225810930132866,469.6300964355469,36.27151107788086,0.010062271729111671
48,475.8769836425781,35.478736877441406,0.0031258214730769396,473.357177734375,33.44408416748047,0.0018055866239592433,469.6784362792969,36.36316680908203,0.01588921807706356
49,475.4441223144531,35.42981719970703,0.0034133773297071457,473.6154479980469,33.583675384521484,0.001685254625044763,469.37646484375,36.32240676879883,0.015418385155498981
50,475.3069763183594,35.21330261230469,0.003961547743529081,473.3453063964844,33.56545639038086,0.0018421586137264967,469.3808898925781,36.224449157714844,0.01813175156712532
51,475.8963623046875,35.05936813354492,0.0026640212163329124,472.9278869628906,33.539249420166016,0.0013662843266502023,468.8909606933594,36.00126266479492,0.01237054169178009
52,476.05487060546875,35.31862258911133,0.0018996791914105415,472.5553894042969,33.76752471923828,0.0010375767014920712,469.5850524902344,36.22858810424805,0.009776057675480843
53,476.3673095703125,35.25677490234375,0.0027792672626674175,1135.93701171875,90.04163360595703,0.0014203658793121576,470.3535461425781,35.97286605834961,0.012935435399413109
54,476.04229736328125,35.13856506347656,0.0033977050334215164,472.11260986328125,33.45588684082031,0.001725678564980626,469.7969970703125,35.89848709106445,0.014799917116761208
55,476.24749755859375,35.77455139160156,0.0021423143334686756,1135.912353515625,89.72943878173828,0.0017845570109784603,470.1129150390625,36.507476806640625,0.01069448422640562
56,475.97247314453125,36.006736755371094,0.002404143800958991,472.748291015625,33.66123962402344,0.0016189035959541798,470.1502990722656,36.692344665527344,0.012602477334439754
57,475.9081726074219,35.49016571044922,0.002669163281098008,474.65264892578125,36.7142448425293,0.0012854866217821836,469.4619140625,36.485111236572266,0.01610967516899109
58,2.2652058601379395,605.4384765625,0.008543066680431366,5.20054817199707,607.8890991210938,0.005993178579956293,-1.3086752891540527,604.65234375,0.025002600625157356
59,1.9599204063415527,604.8427734375,0.00351299368776381,2.393787384033203,602.5316772460938,0.002957819728180766,-3.0188193321228027,603.7702026367188,0.015588080510497093
60,1.5993437767028809,605.1533813476562,0.005116410553455353,2.1586966514587402,603.7151489257812,0.003864132333546877,-1.8001551628112793,604.3062744140625,0.0256947074085474
61,3.4419562816619873,604.7657470703125,0.039568569511175156,3.3079543113708496,604.6812133789062,0.016609681770205498,0.7369949817657471,604.6317749023438,0.13328063488006592
62,3.4096128940582275,604.1917114257812,0.04507025331258774,3.3036794662475586,604.1759033203125,0.03267056494951248,0.8040199279785156,604.2606811523438,0.248056560754776
63,3.235288619995117,603.2693481445312,0.030934419482946396,3.0164763927459717,603.4179077148438,0.02245577611029148,0.5350847244262695,603.4519653320312,0.2696687579154968
64,5.681120872497559,603.9742431640625,0.20036140084266663,2.5315604209899902,613.8157348632812,0.09289015829563141,6.778531074523926,604.8035888671875,0.7472653388977051
65,5.10472297668457,604.6664428710938,0.26232773065567017,2.432285785675049,605.1781616210938,0.1641908884048462,17.976102828979492,605.8585815429688,0.7331542372703552
66,5.752763748168945,604.1317749023438,0.26432332396507263,2.828054666519165,604.6207885742188,0.21008136868476868,19.773353576660156,605.2573852539062,0.7732139825820923
67,6.255349636077881,603.9880981445312,0.22746102511882782,2.848700523376465,604.7401733398438,0.16905620694160461,18.434001922607422,605.410400390625,0.7629637122154236
68,6.278937339782715,603.8971557617188,0.23579417169094086,2.7072196006774902,604.7559814453125,0.1749449521303177,18.824132919311523,605.435791015625,0.7567350268363953
69,6.319868087768555,604.0718383789062,0.20854179561138153,2.4557175636291504,604.9328002929688,0.15963593125343323,18.10922622680664,606.3081665039062,0.8030759692192078
